letters,Line,logmar,Snellen
,1,1.08,6/60 -4
,2,1.06,6/60 -3
,3,1.04,6/60 -2
,4,1.02,6/60 -1
COHZV,5,1,Jun-60
,6,0.98,6/60 +1
,7,0.96,6/60+2
,8,0.94,6/48 -2
,9,0.92,6/48 -1
SZNDC,10,0.9,Jun-48
,11,0.88,6/48 +1
,12,0.86,6/48 +2
,13,0.84,6/38 -2
,14,0.82,6/38 -1
VKCNR,15,0.8,Jun-38
,16,0.78,6/38 +1
,17,0.76,6/30 -3
,18,0.74,6/30 -2
,19,0.72,6/30 -1
KCRHN,20,0.7,Jun-30
,21,0.68,6/30 +1
,22,0.66,6/30 +2
,23,0.64,6/24 -2
,24,0.62,6/24 -1
ZKDVC,25,0.6,Jun-24
,26,0.58,6/24 +1
,27,0.56,6/24 +2
,28,0.54,6/19 -2
,29,0.52,6/19 -1
HVORK,30,0.5,Jun-19
,31,0.48,6/19 +1
,32,0.46,6/15 -3
,33,0.44,6/15 -2
,34,0.42,6/15 -1
RHSON,35,0.4,Jun-15
,36,0.38,6/15 +1
,37,0.36,6/15 +2
,38,0.34,6/12/2002
,39,0.32,6/12/2001
KSVRH,40,0.3,6-Dec
,41,0.28,6/12 +1
,42,0.26,6/12 +2
,43,0.24,6/9.6 -2
,44,0.22,6/9.6 -1
HNKCD,45,0.2,6/9.6
,46,0.18,6-Sept
,47,0.16,6/9 +1
,48,0.14,6/9 +2
,49,0.12,6/7.5 -1
NDVKO,50,0.1,6/7.5
,51,0.08,6/7.5 +1
,52,0.06,6/7.5 +2
,53,0.04,6/6/2002
,54,0.02,6/6/2001
DHOSZ,55,0,6-Jun
,56,-0.02,6/6 +1
,57,-0.04,6/6 +2
,58,-0.06,6/4.8 -2
,59,-0.08,6/4.8 -1
VRNDO,60,-0.1,6/4.8
,61,-0.12,6/4.8 +1
,62,-0.14,6/4.8 +2
,63,-0.16,6/4/2001
,64,-0.18,6-Apr
CZHKS,65,-0.2,6/3.8
,66,-0.22,6/3.8 +1
,67,-0.24,6/3.8 +2
,68,-0.26,6/3/2002
,69,-0.28,6/3/2001
ORZSK,70,-0.3,6-Mar
